H,Betriebszeit_-,Pers/m2,Qi Sommer W/m²,Qi Winter W/m²,Luftwechsel_Anlage_1_h,Luftwechsel_Infiltration_1_h,Warmwasserbedarf_W_m2,Lüfterstrom_W_m2,"Aufzug, Regelung etc._W_m2",Beleuchtung_W_m2,Nutzerstrom_W_m2,Abwärme W/m²
6467,1,0.030420516,9.181014236,4.590507118,0.474751742,0.07,1.82790405,0.57570615,0.2,0,3.910848602,1.281646357
6468,1,0.030420516,9.523255827,4.761627913,0.474751742,0.07,2.616491472,0.57570615,0.2,0,4.09430175,1.051176281
6469,1,0.030420516,9.382596325,4.691298162,0.474751742,0.07,3.405078894,0.57570615,0.2,0,4.018903466,1.075096036
6470,1,0.030420516,8.802935829,4.401467914,0.474751742,0.07,2.222197761,0.57570615,0.2,0,3.7081857,1.024347366
6471,1,0.030420516,8.351391949,4.175695975,0.474751742,0.07,1.420467215,0.57570615,0.2,0,3.466142803,1.007862129
6472,1,0.030420516,8.274342795,4.137171398,0.474751742,0.07,1.420467215,0.57570615,0.2,0,3.424841832,1.046327682
6473,1,0.030420516,8.997481862,4.498740931,0.474751742,0.07,2.222197761,0.57570615,0.2,0,3.671687168,0.971982496
6474,1,0.030420516,9.380081989,4.690040995,0.474751742,0.07,2.616491472,0.57570615,0.2,0,4.130800282,0.597347407
6475,0.932043871,0.025890108,10.9125257,5.456262851,0.372817549,0.07,2.497698431,0.425493664,0.2,0,4.150233571,0.585064289
6476,0.932043871,0.025890108,10.27910998,5.139554991,0.372817549,0.07,1.984611679,0.425493664,0.2,0,3.546310351,0.611569964
6477,0.932043871,0.025890108,8.306795269,4.153397634,0.372817549,0.07,1.590317968,0.425493664,0.2,0,2.91142799,0.591852328
6478,0.932043871,0.025890108,7.99322313,3.996611565,0.372817549,0.07,0.788587422,0.425493664,0.2,0,2.743342645,0.501991625
6479,0.932043871,0.025890108,6.151581487,3.075790743,0.372817549,0.07,0.788587422,0.425493664,0.2,0,2.319287332,0.520739541
